,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ervid
6208,22.63611192,0.192733446,0.253423969,0.760517826,0.446945118,NA,6208
6209,5.855698161,0.244805191,0.361669962,0.676874545,0.498485556,NA,6209
6211,332.8655624,0.272017487,0.115088801,2.36354436,0.018101059,0.129828289,6211
6212,443.2888722,0.311963903,0.11303186,2.759964344,0.005780767,0.096361851,6212
6214,5.429422009,0.031306504,0.318503795,0.098292405,0.921700109,NA,6214
6215,8.404948268,0.120658957,0.314603558,0.383526996,0.701329058,NA,6215
6217,84.93766115,-0.202171194,0.296901409,-0.68093713,0.495911272,NA,6217
6218,95.61036236,-0.37434416,0.287973077,-1.299927631,0.193625774,NA,6218
6219,5.932490042,-0.123778687,0.322930378,-0.383298368,0.701498549,NA,6219
ERVH1q42.2,24.75409413,-0.776430995,0.285628984,-2.718320051,0.006561434,NA,ERVH1q42.2
6223,17.13943421,-0.122936238,0.26769425,-0.459241236,0.646060942,NA,6223
6225,8.186594609,-0.644395265,0.301237909,-2.139157275,0.032422933,NA,6225
6224,7.855952596,-0.717607479,0.277401227,-2.586893673,0.009684547,NA,6224
6226,215.9109199,-0.197426712,0.246058303,-0.802357447,0.42234622,0.648506258,6226
6228,431.0863257,0.298928138,0.134056516,2.229866535,0.025756305,0.157567981,6228
6229,354.907465,0.195303335,0.229810832,0.849843906,0.395411876,0.627829543,6229
6230,8.479057651,-0.630871176,0.520140116,-1.212886983,0.225173033,NA,6230
K-34,1.734156282,-0.61788342,0.630265053,-0.980354879,0.326910974,NA,K-34
6231,4.116145227,-0.192642747,0.372796206,-0.516750826,0.605330111,NA,6231
6234,34.1856875,0.158981025,0.208520971,0.762422239,0.445808038,NA,6234
6238,399.0988657,0.398059428,0.208272402,1.911244237,0.055973201,0.21772807,6238
6239,95.10097917,0.433936639,0.227260778,1.909421597,0.056207727,NA,6239
6244,22.29542482,0.713961194,0.273253972,2.612811767,0.008980075,NA,6244
6245,675.710077,0.021659853,0.097584944,0.221958959,0.824345832,0.935961605,6245
6248,138.1353326,0.150472863,0.241777892,0.622359893,0.533705247,0.754024104,6248
6249,206.7584714,0.266827562,0.127152073,2.098491629,0.035861739,0.168116081,6249
6251,348.0256477,-0.189430946,0.221372181,-0.855712514,0.392156816,0.627829543,6251
6253,1046.948557,-0.342392312,0.213147498,-1.60636327,0.108194116,0.304113192,6253
6254,29.31963178,-0.653653065,0.329970163,-1.980945971,0.047597333,NA,6254
6255,104.9181469,-0.437606055,0.357109198,-1.225412445,0.22041986,NA,6255
6259,18.53869804,-1.37706229,0.455103658,-3.025821183,0.002479589,NA,6259
3180,343.5431793,-0.087552523,0.198901744,-0.440179766,0.659806913,0.829914789,3180
K-50,643.4713563,-0.503139313,0.327709037,-1.535323279,0.124704439,0.321780644,K-50
3182,476.7209232,-0.425169302,0.143712404,-2.958473244,0.003091671,0.096361851,3182
3185,10.57557852,-0.115160181,0.276907083,-0.415880229,0.677497648,NA,3185
3183,52.4392834,-0.597826074,0.241327053,-2.477244333,0.013240123,NA,3183
3184,37.65478149,-0.272349758,0.256610194,-1.061336471,0.288537017,NA,3184
3187,5.471501141,0.419101083,0.341685058,1.226571292,0.219983765,NA,3187
3189,724.4646835,0.07642428,0.116784103,0.654406535,0.512849925,0.745963528,3189
3191,55.2342833,0.123071486,0.304123494,0.404676024,0.685715669,NA,3191
3193,12.46551754,0.518564753,0.312108743,1.661487427,0.096615592,NA,3193
K-22,607.9831499,0.010621009,0.231004922,0.045977413,0.963328252,0.977482591,K-22
3194,69.62008365,0.124419516,0.16292974,0.763639078,0.445082355,NA,3194
3196,182.3505378,-0.117981566,0.226729152,-0.520363461,0.602810272,0.789480014,3196
3199,172.9691987,0.309740807,0.177520266,1.744819419,0.081016307,0.273933249,3199
3200,663.7385351,-0.006647242,0.146037699,-0.045517301,0.963694985,0.977482591,3200
3203,606.3718825,0.368466064,0.1725503,2.135412483,0.032727332,0.168116081,3203
3204,7.310555648,-0.332900481,0.303226946,-1.097859164,0.272265992,NA,3204
W-47,30.37795802,-0.448286939,0.215832506,-2.077013084,0.037800352,NA,W-47
3209,107.8263359,1.172268575,0.42345437,2.768346859,0.005634146,0.096361851,3209
3213,995.3678366,-0.299000381,0.141821177,-2.108291487,0.035005784,0.168116081,3213
3215,11.3097941,-0.612050128,0.31948398,-1.91574591,0.055397446,NA,3215
3221,15.20904653,0.131907183,0.200036806,0.659414566,0.509629591,NA,3221
